product_id,product_name,category_name
1,team golf st. louis cardinals putter grip,accessories
2,team golf texas longhorns putter grip,accessories
3,team golf new england patriots putter grip,accessories
4,team golf tennessee volunteers putter grip,accessories
5,team golf pittsburgh steelers putter grip,accessories
6,team golf san francisco giants putter grip,accessories
7,nike men's free tr 5.0 tb training shoe,as seen on  tv!
8,baby sweater,baby
9,adidas kids' f5 messi fg soccer cleat,baseball & softball
10,unknown product,baseball & softball
11,adidas brazuca 2014 official match ball,baseball & softball
12,sole e25 elliptical,basketball
13,diamondback boys' insight 24 performance hybr,basketball
14,diamondback girls' clarity 24 hybrid bike 201,basketball
15,sports books,books
16,under armour women's micro g skulpt running s,boxing & mma
17,nike women's free 5.0 tr fit prt 4 training s,boxing & mma
18,brooks women's ghost 6 running shoe,boxing & mma
19,web camera,cameras
20,diamondback women's serene classic comfort bi,camping & hiking
21,nike men's free 5.0+ running shoe,cardio equipment
22,nike women's tempo shorts,cardio equipment
