order_id,order_date,shipping_date,customer_id,product_id,quantity,total_sales,total_profit
9023,2015-05-12,2015-05-13,4,1,1,24.99,3.37
9704,2015-05-22,2015-05-24,4,2,5,124.95,26.99
35559,2016-06-03,2016-06-08,7,3,2,49.98,1.12
12828,2015-07-07,2015-07-11,9,4,1,24.99,8.73
56133,2017-03-30,2017-04-03,10,3,5,124.95,20.34
45831,2016-10-31,2016-11-02,12,5,4,99.96,0
33481,2016-05-03,2016-05-05,21,4,3,74.97,33.74
47800,2016-11-28,2016-12-04,22,3,5,124.95,29.39
13795,2015-07-21,2015-07-27,60,6,4,99.96,35.92
30287,2016-03-18,2016-03-21,61,1,3,74.97,20.04
7382,2015-04-18,2015-04-19,82,5,1,24.99,6.88
33290,2016-04-30,2016-05-06,83,1,5,124.95,9.9
50493,2017-01-07,2017-01-07,84,2,4,99.96,9
49769,2016-12-27,2017-01-01,85,3,4,99.96,27.15
23487,2015-12-09,2015-12-11,90,6,3,74.97,35.63
19821,2015-10-17,2015-10-19,96,5,4,99.96,-4.7
9374,2015-05-17,2015-05-22,125,3,5,124.95,47.76
46536,2016-11-10,2016-11-12,141,3,4,99.96,29.1
57182,2017-04-14,2017-04-17,160,4,2,49.98,-11.16
47416,2016-11-23,2016-11-25,165,2,2,49.98,20.87
2935,2015-02-12,2015-02-18,166,2,5,124.95,58.14
18832,2015-10-02,2015-10-05,170,4,3,74.97,34.01
12381,2015-06-30,2015-07-02,173,6,1,24.99,7.67
20377,2015-10-25,2015-10-28,173,3,5,124.95,42.42
5477,2015-03-21,2015-03-24,182,6,3,74.97,30.66
46860,2016-11-15,2016-11-21,186,5,3,74.97,31.88
54373,2017-03-04,2017-03-08,196,6,1,24.99,6.39
44360,2016-10-09,2016-10-11,202,1,2,49.98,2.93
21005,2015-11-03,2015-11-05,203,3,2,49.98,5.37
30051,2016-03-14,2016-03-16,205,6,1,24.99,6.82
8934,2015-05-11,2015-05-16,209,6,4,99.96,44.08
35379,2016-05-31,2016-06-02,226,5,2,49.98,12.74
26781,2016-01-26,2016-01-28,238,1,3,74.97,3.87
21434,2015-11-09,2015-11-14,245,2,1,24.99,-18.19
19892,2015-10-18,2015-10-21,247,5,5,124.95,19.25
5949,2015-03-28,2015-03-30,250,5,4,99.96,9.26
40336,2016-08-11,2016-08-13,252,3,1,24.99,-37.19
9467,2015-05-19,2015-05-21,256,1,5,124.95,11.62
13339,2015-07-14,2015-07-19,258,1,3,74.97,7.87
46965,2016-11-16,2016-11-18,266,5,3,74.97,15.83
9730,2015-05-23,2015-05-25,270,4,4,99.96,33.92
41865,2016-09-03,2016-09-09,271,6,2,49.98,11.15
42386,2016-09-10,2016-09-12,273,3,4,99.96,39.34
25918,2016-01-14,2016-01-18,279,1,3,74.97,-117.55
26957,2016-01-29,2016-02-01,283,4,4,99.96,-7.04
48952,2016-12-15,2016-12-18,288,5,5,124.95,58.78
20547,2015-10-27,2015-10-30,315,2,5,124.95,39.11
17209,2015-09-09,2015-09-14,336,5,2,49.98,3
45166,2016-10-21,2016-10-23,348,5,5,124.95,35.14
36790,2016-06-21,2016-06-27,352,4,5,124.95,11.68
18290,2015-09-24,2015-09-26,366,1,4,99.96,34.29
